"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Registra un usuario correctamente","347","registroExitoso","Reqres API Test Suite","Tue Aug 05 16:38:42 GMT 2025","passed","Tue Aug 05 16:38:42 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","registroExitoso"
"Valida que la API responde 404 cuando el usuario no existe","347","Usuario no encontrado","Reqres API Test Suite","Tue Aug 05 16:38:43 GMT 2025","passed","Tue Aug 05 16:38:43 GMT 2025","apitests.NegativasTest","Pruebas Negativas","apitests.NegativasTest","usuarioNoEncontrado"
"Repetir DELETE /users/2 debe responder con status code 404 en la segunda vez","356","DELETE /users/{id} debería ser idempotente","Reqres API Test Suite","Tue Aug 05 16:38:44 GMT 2025","failed","Tue Aug 05 16:38:45 GMT 2025","apitests.IdempotencyTest","Pruebas Idempotencia","apitests.IdempotencyTest","deleteUsuarioEsIdempotente"
"Login exitoso con email y password válidos","163","loginExitoso","Reqres API Test Suite","Tue Aug 05 16:38:41 GMT 2025","passed","Tue Aug 05 16:38:42 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","loginExitoso"
"Falla el login cuando falta el password","207","loginFallidoSinPassword","Reqres API Test Suite","Tue Aug 05 16:38:42 GMT 2025","passed","Tue Aug 05 16:38:42 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","loginFallidoSinPassword"
"Verifica que la API devuelve los datos correctos para un usuario existente","134","Obtiene un usuario existente por ID","Reqres API Test Suite","Tue Aug 05 16:38:41 GMT 2025","passed","Tue Aug 05 16:38:41 GMT 2025","apitests.UserRetrievalTest","Pruebas Positivas","apitests.UserRetrievalTest","obtenerUsuarioExistente"
"La misma petición GET /users/2 debe devolver la misma respuesta","137","GET idempotente","Reqres API Test Suite","Tue Aug 05 16:38:45 GMT 2025","passed","Tue Aug 05 16:38:45 GMT 2025","apitests.IdempotencyTest","Pruebas Idempotencia","apitests.IdempotencyTest","getUsuarioEsIdempotente"
"Login exitoso con email y password válidos","153","loginExitoso","Reqres API Test Suite","Tue Aug 05 16:38:42 GMT 2025","passed","Tue Aug 05 16:38:42 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","loginExitoso"
"Falla esperada al intentar crear un usuario sin body","151","Falla al crear un usuario sin body","Reqres API Test Suite","Tue Aug 05 16:38:43 GMT 2025","failed","Tue Aug 05 16:38:43 GMT 2025","apitests.NegativasTest","Pruebas Negativas","apitests.NegativasTest","crearUsuarioSinBody"
"Valida que la respuesta del endpoint GET /users/2 cumpla con el esquema JSON definido","702","Valida el schema del usuario por ID","Reqres API Test Suite","Tue Aug 05 16:38:44 GMT 2025","passed","Tue Aug 05 16:38:44 GMT 2025","apitests.SchemaValidationTest","Validacion de Esquemas","apitests.SchemaValidationTest","validarSchemaUsuarioPorId"
"Elimina un usuario existente","2437","borrarUsuario","Reqres API Test Suite","Tue Aug 05 16:38:38 GMT 2025","passed","Tue Aug 05 16:38:40 GMT 2025","apitests.APITest","Pruebas Positivas","apitests.APITest","borrarUsuario"
"Falla el registro cuando falta el password","166","registroFallidoSinPassword","Reqres API Test Suite","Tue Aug 05 16:38:43 GMT 2025","passed","Tue Aug 05 16:38:43 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","registroFallidoSinPassword"
"Falla esperada al actualizar un usuario usando campos no válidos o mal nombrados","237","Falla al actualizar un usuario con campos inválidos","Reqres API Test Suite","Tue Aug 05 16:38:43 GMT 2025","failed","Tue Aug 05 16:38:43 GMT 2025","apitests.NegativasTest","Pruebas Negativas","apitests.NegativasTest","actualizarUsuarioCamposInvalidos"
"Verifica que el endpoint GET /users?page=2 responde con una lista de usuarios","922","Lista todos los usuarios de una pagina","Reqres API Test Suite","Tue Aug 05 16:38:40 GMT 2025","passed","Tue Aug 05 16:38:41 GMT 2025","apitests.UserRetrievalTest","Pruebas Positivas","apitests.UserRetrievalTest","listarUsuariosPaginaDos"
"Registra un usuario correctamente","257","registroExitoso","Reqres API Test Suite","Tue Aug 05 16:38:42 GMT 2025","passed","Tue Aug 05 16:38:43 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","registroExitoso"
"Verifica que el endpoint GET /users?page=2 responda en menos de 2 segundos","133","Verifica que la respuesta sea menor a 2 segundos","Reqres API Test Suite","Tue Aug 05 16:38:43 GMT 2025","passed","Tue Aug 05 16:38:44 GMT 2025","apitests.PerformanceTest","Pruebas de Performance","apitests.PerformanceTest","respuestaRapida"
